Data Table for Weekly Case Trends - New York City*
Date generated: Mon Dec 05 2022 12:48:41 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
New York City,Nov 30 2022,19063,0
New York City,Nov 23 2022,16670,0
New York City,Nov 16 2022,17453,0
New York City,Nov  9 2022,18209,0
New York City,Nov  2 2022,15831,0
New York City,Oct 26 2022,14590,0
New York City,Oct 19 2022,14424,0
New York City,Oct 12 2022,12587,0
New York City,Oct  5 2022,13841,0
New York City,Sep 28 2022,14684,0
New York City,Sep 21 2022,14301,0
New York City,Sep 14 2022,12696,0
New York City,Sep  7 2022,13578,0
New York City,Aug 31 2022,14902,0
New York City,Aug 24 2022,17348,0
New York City,Aug 17 2022,19662,0
New York City,Aug 10 2022,26859,0
New York City,Aug  3 2022,23790,0
New York City,Jul 27 2022,28559,0
New York City,Jul 20 2022,32567,0
New York City,Jul 13 2022,30345,0
New York City,Jul  6 2022,25345,0
New York City,Jun 29 2022,23083,0
New York City,Jun 22 2022,20471,0
New York City,Jun 15 2022,21162,0
New York City,Jun  8 2022,24871,0
New York City,Jun  1 2022,25972,0
New York City,May 25 2022,29079,0
New York City,May 18 2022,30235,0
New York City,May 11 2022,27552,0
New York City,May  4 2022,19626,0
New York City,Apr 27 2022,15004,0
New York City,Apr 20 2022,17365,0
New York City,Apr 13 2022,14957,0
New York City,Apr  6 2022,10727,0
New York City,Mar 30 2022,8957,0
New York City,Mar 23 2022,6408,0
New York City,Mar 16 2022,6057,0
New York City,Mar  9 2022,4861,0
New York City,Mar  2 2022,4986,0
New York City,Feb 23 2022,7324,0
New York City,Feb 16 2022,10275,0
New York City,Feb  9 2022,16325,0
New York City,Feb  2 2022,26463,0
New York City,Jan 26 2022,66914,0
New York City,Jan 19 2022,142755,0
New York City,Jan 12 2022,272377,0
New York City,Jan  5 2022,275330,0
New York City,Dec 29 2021,181278,0
New York City,Dec 22 2021,84448,0
New York City,Dec 15 2021,25442,0
New York City,Dec  8 2021,16372,0
New York City,Dec  1 2021,10569,0
New York City,Nov 24 2021,10451,0
New York City,Nov 17 2021,8331,0
New York City,Nov 10 2021,6870,0
New York City,Nov  3 2021,6306,0
New York City,Oct 27 2021,6211,0
New York City,Oct 20 2021,8748,0
New York City,Oct 13 2021,9188,0
New York City,Oct  6 2021,10822,0
New York City,Sep 29 2021,10859,0
New York City,Sep 22 2021,12945,0
New York City,Sep 15 2021,13660,0
New York City,Sep  8 2021,10064,0
New York City,Sep  1 2021,12971,0
New York City,Aug 25 2021,13416,0
New York City,Aug 18 2021,14280,0
New York City,Aug 11 2021,12767,0
New York City,Aug  4 2021,10103,0
New York City,Jul 28 2021,6947,0
New York City,Jul 21 2021,4301,0
New York City,Jul 14 2021,3062,0
New York City,Jul  7 2021,1397,0
New York City,Jun 30 2021,1357,0
New York City,Jun 23 2021,1276,0
New York City,Jun 16 2021,1542,0
New York City,Jun  9 2021,1776,0
New York City,Jun  2 2021,2171,0
New York City,May 26 2021,3288,0
New York City,May 19 2021,4841,0
New York City,May 12 2021,6287,0
New York City,May  5 2021,9033,0
New York City,Apr 28 2021,12556,0
New York City,Apr 21 2021,18331,0
New York City,Apr 14 2021,22764,0
New York City,Apr  7 2021,25403,0
New York City,Mar 31 2021,28746,0
New York City,Mar 24 2021,30145,0
New York City,Mar 17 2021,25852,0
New York City,Mar 10 2021,26742,0
New York City,Mar  3 2021,27829,0
New York City,Feb 24 2021,29380,0
New York City,Feb 17 2021,28508,0
New York City,Feb 10 2021,28710,0
New York City,Feb  3 2021,36527,0
New York City,Jan 27 2021,38445,0
New York City,Jan 20 2021,41347,0
New York City,Jan 13 2021,43834,0
New York City,Jan  6 2021,34709,0
New York City,Dec 30 2020,26267,0
New York City,Dec 23 2020,25212,0
New York City,Dec 16 2020,25671,0
New York City,Dec  9 2020,23791,0
New York City,Dec  2 2020,17516,0
New York City,Nov 25 2020,14800,0
New York City,Nov 18 2020,12959,0
New York City,Nov 11 2020,9334,0
New York City,Nov  4 2020,5909,0
New York City,Oct 28 2020,5137,0
New York City,Oct 21 2020,4369,0
New York City,Oct 14 2020,4114,0
New York City,Oct  7 2020,4010,0
New York City,Sep 30 2020,3435,0
New York City,Sep 23 2020,2338,0
New York City,Sep 16 2020,2254,0
New York City,Sep  9 2020,1909,0
New York City,Sep  2 2020,1913,0
New York City,Aug 26 2020,1827,0
New York City,Aug 19 2020,1909,0
New York City,Aug 12 2020,1829,0
New York City,Aug  5 2020,1900,0
New York City,Jul 29 2020,2103,0
New York City,Jul 22 2020,2702,0
New York City,Jul 15 2020,2648,0
New York City,Jul  8 2020,2310,0
New York City,Jul  1 2020,2286,0
New York City,Jun 24 2020,2383,0
New York City,Jun 17 2020,2503,0
New York City,Jun 10 2020,3217,0
New York City,Jun  3 2020,4178,0
New York City,May 27 2020,6053,0
New York City,May 20 2020,6769,0
New York City,May 13 2020,8033,0
New York City,May  6 2020,13348,0
New York City,Apr 29 2020,18786,0
New York City,Apr 22 2020,23831,0
New York City,Apr 15 2020,35538,0
New York City,Apr  8 2020,37059,0
New York City,Apr  1 2020,36012,0
New York City,Mar 25 2020,16516,0
New York City,Mar 18 2020,1289,0
New York City,Mar 11 2020,51,0
New York City,Mar  4 2020,0,0
New York City,Feb 26 2020,0,0
New York City,Feb 19 2020,0,0
New York City,Feb 12 2020,0,0
New York City,Feb  5 2020,0,0
New York City,Jan 29 2020,0,0
